"PSG Login ID","Intel Login ID","Intel WWID","PSG EMP ID"
"ADARGELA","ADARGELA","11644902","09757"
"ADASU","ADASU","11644593","10655"
"ADAVIDSO","ATDAVIDS","11646045","05372"
"ADEARBOR","ADEARBOR","11645227","01470"
"ADHIMAN","ADHIMANX","11708104","11872"
"ADLCRUZ","ADLCRUZ","11644548","08613"
"ADO","ATDO","11646115","05463"
"ADOOI","ADOOI","11646750","06975"
"ADORRELL","ADORRELL","11645407","02538"
"ADOSHI","ASDOSHI","11646044","05367"
"ADRAPER","ADRAPER","11645460","02763"
"ADRURY","DRURYADR","11645592","03371"
"ADSHUKLA","ADILIPSX","11709472","11940"
"ADUBEY","DUBEYA","10642045","06810"
"ADYANG","ATYANG","11644787","09492"
"AELHADRI","AELHADRI","11646029","05301"
"AELSAYED","AELSAYED","11672868","11224"
"AENTESHA","AENTESHA","11674462","11290"
"AESMAEIL","AESMAEIL","11644695","09386"
"AEWE","AMYSWEET","11645676","03561"
"AFAHMADS","AFAHMADS","11644433","10692"
"AFAYEZI","AFAYEZI","11644156","10861"
"AFEROZPU","AFEROZPU","11645348","02270"
"AFERRAZZ","AFERRAZZ","11644937","10443"
"AFERRUCC","AFERRUCC","11645564","03156"
"AFEYGENS","AFEYGENS","11644704","09408"
"AFITZGER","ADRIANFI","10063886","05696"
"AFMATZAI","AFMATZAI","11644331","10721"
"AFONG","YIMHUIFO","11646724","07717"
"AFORTES","AFORTES","11645298","01925"
"AFRANZA","AFRANZA","11644358","04776"
"AGANESH","ARUNGANE","11644947","10433"
"AGARG","ADITYAGA","11679878","11437"
"AGCHENG","AGCHENG","11645472","02786"
"AGHOUSE","AGHOUSE","11646554","06694"
"AGIDDA","AGIDDA","11644729","09453"
"AGOEL","GOELABHI","11644745","10516"
"AGOH","ENGCHONG","11644137","04304"
"AGRBIC","AGRBIC","11645708","03846"
"AGUESNER","AGUESNER","11646047","05383"
"AGUNDURA","AKGUNDUR","11645499","10180"
"AHAGIESC","AHAGIESC","11644488","08471"
"AHALRASH","AALRASHI","11681381","11397"
"AHAQUE","ADILHAQU","11644428","08444"
"AHARINDR","AHARINDR","11450698","10898"
"AHASHEMI","AHASHEMI","11656916","09977"
"AHASHMI","AHASHMI","11668497","11106"
"AHASSAN","AHMEDHAS","11644730","09457"
"AHAZADDI","AAZADDIN","11644345","10716"
"AHERRMAN","ALHERRMA","11644672","00158"
"AHMRABI","AHMRABI","11647210","07676"
"AHONG","WEIWEIHO","11646757","06998"
"AHOWE","AHOWE","11677621","11353"
"AISMAIL","WIAFANDI","10004479","09864"
"AITHARAJ","AITHARAJ","11646486","07968"
"AITO","AKINORII","11644188","04357"
"AIZHANG","AIZHANG","11644909","09772"
"AJACKSON","AWJACKSO","11645922","09211"
"AJAKOV","AJAKOVLX","11707432","11891"
"AJAMIL","ANASJAMI","11686554","11610"
"AJANGITY","ARUNJANG","11645053","09997"
"AJCHEN","AIJUNCHE","11644402","08352"
"AJCHUNG","AJCHUNG","11646862","07174"
"AKAMARUD","AKMARKAM","11645868","09123"
"AKAMMOON","AKAMMOON","11646782","07785"
"AKANAPAR","AKANAPAR","11687444","11620"
"AKANNAN","KANNANAJ","11644205","10819"
"AKARAPET","AKARAPET","11645873","09075"
"AKATARIA","AKKATARI","11644341","10711"
"AKATO","AKIKOKAT","11646550","06674"
"AKEDONGA","AKEDONGA","11646139","05613"
"AKELKAR","ASKELKAR","11381278","11738"
"AKELLY","ANTHONYK","11644244","10766"
"AKERTESZ","AKERTESZ","11645950","09007"
"AKGOEL","GOELASHI","11672362","11226"
"AKHEYMEH","AKHEYMEH","11645034","09959"
"AKIMURA","AYUKOKAN","11646576","06773"
"AKIUCHI","AKIUCHI","11646223","08794"
"AKOAY","AMKOAY","11645747","04083"
"AKONDURU","AKONDURU","11644811","09571"
"AKRIKELI","AKRIKELI","11644225","04528"
"AKUAH","AKUAH","11645201","01205"
"AKUGEL","AKUGEL","11646360","08237"
"AKUMAR","AJAYKRAV","11645261","01725"
"AKUMARAS","ADITIKUM","11680543","11328"
"ALABACH","ALABACH","11688716","11598"
"ALALIN","ALALIN","11644619","10620"
"ALAO","ALAO","11644740","10537"
"ALBAKER","ALANBAKE","11644471","09273"
"ALBYAP","ALBERTOY","11708919","11704"
"ALCHANG","ALCHANG","11645571","03185"
"ALCHEN","APCHEN","10613837","01050"
"ALEAVER","ALEAVER","11645220","01411"
"ALEE","ANDYLEE3","10056828","01690"
"ALEONARD","ALYCIALE","11644243","10763"
"ALEUNG","ALVINLEU","11672870","11227"
"ALEWIS","AUDREYLE","11675548","11321"
"ALICHANG","ALICHANG","11647201","06390"
"ALICHT","ALICHT","11674466","11296"
"ALIN","WUUCHERN","11645191","01128"
"ALING","ACLING","11644638","08717"
"ALKHOO","ALKHOO","11645182","10287"
"ALLIANG","ALLIANG","11644596","10627"
"ALLU","ALLU","11644206","04391"
"ALMANSUR","ALMANSUR","11644437","10697"
"ALOCICER","ALOCICER","11646519","06578"
"ALOTFI","AWLOTFI","11644697","09398"
"ALOW","AMBROSEL","11644972","10415"
"ALTUNG","LIEHTING","11413141","11294"
"ALUDWIN","ALUDWIN","11644276","04567"
"ALWONG","ALWONG","11645509","02845"
"ALYONG","AYONG3","10678082","04935"
"ALZHANG","ALZHANG","11645614","10125"
"AMACIAS","ARMACIAS","11644523","08555"
"AMAGAT","AMAGAT","11645214","01351"
"AMAGUPTA","AMANGUPT","11659251","11001"
"AMALONE","AIDANMAL","11644737","10533"
"AMALVI","AMALVI","10681261","10578"
"AMANNA","ANGIEMAN","11644674","00226"
"AMAURYA","MAURYAAN","11644396","08337"
"AMEHER","AMEHER1","11390257","10330"
"AMEHTA","ANKITMEH","11645643","10101"
"AMGOH","AMGOH","11100873","07240"
"AMHASSAN","AMIRAHAS","11654364","10891"
"AMICHAEL","WAMICHAE","11644666","00045"
"AMIGUPTA","AMIGUPTA","11644151","10874"
"AMIRARCH","AMIRARCH","11645197","01157"
"AMKUO","AMYKUO","11689362","11650"
"AMMRAZIP","AMMRAZIP","11644816","09592"
"AMOHAMAD","AMALINAM","11644354","10707"
"AMOHDZUK","AMOHDZUK","11684525","11492"
"AMOLEE","AMOLEE","11646536","06645"
"AMONTANA","AMONTANA","11645492","02833"
"AMORAN","AFITTON","11646570","06751"
"AMSHARMA","AMANSHA1","11657762","11038"
"AMTAN","AMTAN","10703450","07749"
"AMUNJAL","AMUNJAL","11644542","08603"
"AMYDIN","ASSHAIKD","11707399","11715"
"ANAGARAN","ANAGARAN","11645428","02664"
"ANAGRAWA","ANAGRAWA","11645051","09994"
"ANANDA","ANISHANA","11646275","08245"
"ANCHEAH","ANCHEAH","11646242","05936"
"ANCHEN","ANCHEN","11645906","05021"
"ANDO","ANDO","11644714","09423"
"ANDTAN","ANDREWTA","11689357","11643"
"ANLO","ANLO","11644504","08517"
"ANMOHDID","AMOHDIDR","11684527","11494"
"ANNGUYEN","ANNGUYEN","11646869","07191"
"ANOE","ANOE","11645239","01571"
"ANRWANG","ANRUWANG","11681582","11413"
"ANSHAH","ANIKETSH","11644509","08525"
"ANSHARMA","ANSHARMA","11222824","10396"
"ANTRAN","AHTRAN","10077927","10250"
"ANWLIU","ALIU4","10651652","11646"
"AOLANIO","AOLANIOX","11708803","11835"
"AOLIVERI","AOLIVERI","11644921","09815"
"AOMAHONY","ALLISONO","11645037","09964"
"AONG","ANNIEONG","11646189","05816"
"AONO","ASAKOONO","11646281","08252"
"AOTHMAN","AOTHMAN","11644253","10750"
"APANIAND","APANIAND","11646107","05436"
"APANNEER","ASHWINPA","11645463","10216"
"APATEL","ARUNMPAT","11644532","08571"
"APGAN","APGAN","11646052","05404"
"APIKE","APIKE","11646929","07520"
"APLAI","AIPHINGL","11224230","06754"
"APMICO","APMICO","11645629","10106"
"APRASAD","APARNA","10708212","06537"
"APYE","APYE","11645309","02009"
"AQUITAYE","AQUITAYE","11647194","10859"
"ARABDRAH","AABDRAHI","11657526","10990"
"ARABDULR","ARABDULR","11644430","10700"
"ARAGHAVA","ARAGHAVA","11646236","08780"
"ARAGHUNA","ARAGHUN1","10699633","11613"
"ARAHMAN","ARIFURRA","11646820","07550"
"ARAMESHK","ARAMESHK","11675538","11306"
"ARANDREW","AANDREW","11655129","10940"
"ARARORA","ARARORA","11336913","10147"
"ARIVERO","ARIVERO","11671366","11218"
"ARKRISHN","ARULMANI","11529726","11248"
"AROBLE","AROBLE","11645530","02952"
"AROSLE","AROSLE","11339709","09049"
"AROTH","AJROTH","11644268","04537"
"ARRYAN","ARRYAN","11644817","09593"
"ARWANG","ARWANG","11645911","05037"
"ASADURDE","ASADURDE","11644175","10838"
"ASAHRAEI","ALIREZAS","11646488","07972"
"ASAIGAL","ASAIGAL","11677624","05540"
"ASAINI","ASAINI","11489478","09891"
"ASAMPATH","AMRUTHAS","11685453","11569"
"ASAONG","ASAONG","11338450","10795"
"ASATHAMO","ASATHAMO","10680017","06603"
"ASAXENA","SAXENAA","11646354","08220"
"ASCHOEN","ARTHURSC","11644581","10661"
"ASDESAI","ASHISHKD","11657757","04882"
"ASHAH","ALICIALS","11645503","10188"
"ASHAO","ALANHSHA","11646028","05291"
"ASHARMA","AVINASHR","11646079","08928"
"ASHARP","ASHARPX","11660261","11251"
"ASHARTMA","ASHARTMA","11644755","10488"
"ASHRESTH","ASHREST1","11644980","10401"
"ASIGMUND","ASIGMUND","11645244","01597"
"ASJAMAL","AJAMAL","11671376","11181"
"ASMITH","ANDREAGS","11645255","01670"
"ASOMKUWA","ASOMKUWA","11646257","08290"
"ASONI","APURVASO","11645493","10212"
"ASOON","ALANSOON","10658826","07638"
"ASPILLAN","ASPILLAN","11646418","06343"
"ASRINIVA","ARCHANNA","11646037","05335"
"ASRIVAST","ALOKSRIV","11654725","10950"
"ASSONG","AONG3","10716606","11640"
"ASUKMADJ","ASUKMADJ","11644941","10448"
"ASWANCY","ASWANCY","11644515","08538"
"ASWIRSKI","AFSWIRSK","11672878","11149"
"ASZAINAL","AZAINALA","11684517","11479"
"ATAN","ATAN15","10701252","06157"
"ATANG","CTANG10","11298945","08226"
"ATAVCAR","ATAVCAR","11684502","11541"
"ATAYLOR","ATAYLOR","11647220","08166"
"ATCYEOH","ADRIANYE","11044952","10949"
"ATENG","ANNATIMM","11646310","06130"
"ATHTAN","ATHTAN","11645144","10341"
"ATINSLEY","TINSLEYA","10061067","09735"
"ATIRUMAL","ATIRUMAL","11645859","09093"
"ATITLEY","ATITLEY","11645977","05087"
"ATODA","ASAKOTOD","11708920","11721"
"ATONG","TONGANDY","11645469","10219"
"ATRENT","ATRENT","11648625","10897"
"ATTAN","AIKTHIAM","11675287","11310"
"ATULL","ATULL","11644536","08576"
"ATUNG","ANNIESIE","11645420","02637"
"ATUTTLE","ATUTTLE","11645866","09119"
"ATWANG","ALICKWAN","11683491","11530"
"AVALS","AVALS","11645850","09131"
"AVENKATE","ANANDHVE","11667862","11145"
"AVENTURA","AVENTURA","11645089","00584"
"AVIDYART","ARVINDVI","11667855","11148"
"AVIJAYAR","AALVIJAY","11658145","11015"
"AVTAN","AVTAN","10716628","10268"
"AVYAS","ASVYAS","10658188","10199"
"AWALTON","AJWALTON","11647215","07711"
"AWANG","JIANGHO1","11646720","07700"
"AWARD","ADRIANWA","11644250","10782"
"AWEED","ARTHURWE","11647193","10260"
"AWEERASI","WEERASIN","11303130","10836"
"AWENG","KWENG","11645821","09291"
"AWHITAKE","AWHITAKE","11645532","02965"
"AWHITE","ANJANIWH","11645430","02666"
"AWJHUANG","AWHUANG","11681581","11450"
"AWOOD","ALEXWOOD","11685455","11553"
"AWRIGHT","AJWRIGHT","11645102","00787"
"AYANG","QYANG1","11645904","05012"
"AYAO","YANGYAO","11646322","06177"
"AYGUPTA","AYGUPTA","11646215","08802"
"AYHCHEW","AYHCHEW","11302327","10248"
"AYLEE","AYLEE","10673259","07698"
"AYTANG","AYTANG","11646475","06494"
"AYVISHWA","AVISHWAN","11654358","10963"
"AZALIZNY","AZALIZNY","11645438","02695"
"AZANGARA","AJZANGAR","11063024","11309"
"AZIKLIK","ARYEZIKL","11645515","02866"
"AZULKEFL","AZULKEFL","10696039","05274"
"BABGHARI","BABGHARI","11644956","10418"
"BANTWERP","BANTWERP","11645514","02863"
"BARCHER","BARCHER","11646895","07317"
"BAUYEUNG","BAUYEUNG","11646578","06778"
"BAVANHOOF","BVANHOOF","11645142","10339"
"BAVSEC","BAVSEC","11645188","01063"
"BBAANG","BBAANG","11646036","05330"
"BBAO","BBAO","11646618","07836"
"BBAPPUDI","BBAPPUDI","11684509","11533"
"BBENDER","BARRYBEN","11644713","09421"
"BBENSING","BBENSING","11644434","10693"
"BBENTLEY","BBENTLEY","11678260","11406"
"BBLAKE","RWBLAKE","11645660","03461"
"BBLANC","BBLANC","11646849","07428"
"BBOWMAN","BBOWMAN","11646754","06983"
"BBROWN","WILLIAMB","11645681","03660"
"BBUNAC","BBUNAC","11644820","09600"
"BBYRON","BYRONBEN","11645925","09045"
"BCCHEAH","CBOONCHE","11645120","10385"
"BCHAN","BPCHAN","11644277","04576"
"BCHAU","BILLYCHA","11645300","01932"
"BCHAVALI","BCHAVALI","11646221","08791"
"BCHEN","BRIANCHE","11644607","10624"
"BCHEW","CHEWBENN","11681591","11460"
"BCLEGG","BCLEGGX","11549473","11866"
"BCLLIM","LIMBELIX","11709824","11900"
"BCOISH","BCOISH","11646925","07496"
"BCOPE","BCOPE","11647202","06394"
"BCOVER","BCOVER","10714069","10658"
"BCTAN","BEECHENT","11646663","06878"
"BCTEOH","TEOHBOON","11646258","05979"
"BCTEY","BTEY","11098285","05434"
"BDEJONG","BDEJONG","11646414","06318"
"BDIEP","BDIEP","11645196","01146"
"BDOOR","BDOOR","11645627","10118"
"BDUCAMP","BDUCAMP","11645444","02722"
"BECHAN","BECHAN","11644653","10557"
"BELLIM","BELLIM","11646511","06558"
"BELTAN","BELTAN","11265396","06841"
"BESPOSIT","BESPOSIT","11647077","01503"
"BEWANG","BEWANG","11645559","03119"
"BFCHONG","BFCHONG","11345289","07491"
"BFERNAND","BFERNAND","11655126","10930"
"BFORT","BFORT","11646126","05510"
"BFRIEBE","FRIEBEBE","11644114","04226"
"BGABEHAR","BGABEHAR","11644878","09711"
"BGAGANTE","BGAGANTE","11687443","11619"
"BGAMSA","BGAMSA","11646833","07132"
"BGARRETT","ROBERTPG","11645406","02532"
"BGILBERT","BYRONGIL","11645046","09984"
"BGORDON","BLGORDON","11646545","06668"
"BGRISIER","BGRISIER","11645361","02349"
"BGROZA","BGROZA","11645965","08960"
"BHATA","WHATA","10049347","02766"
"BHCHEAH","BHCHEAH","11646573","06760"
"BHGOOI","BHGOOI","10003227","10881"
"BHGUAN","BHGUAN","11646528","06632"
"BHLEE","BENGHWEE","11655124","06407"
"BHOH","BHOH","10716196","06092"
"BHOLLEY","BJHOLLEY","11646538","06653"
"BHOLSTEI","WHOLSTEX","11561129","11885"
"BHOOI","BOONHAWO","10698181","03380"
"BHOWE","BSHOWE","11645755","04120"
"BHUANG","BRIANHUA","11644717","09428"
"BHUNT","BHUNT","11644385","08316"
"BHYEOH","BEEHOONY","11645967","08964"
"BIMPELLE","BIMPELLE","11645760","04138"
"BIWU","BINGWU","11649391","10914"
"BIZHOU","BIYUNZHO","11493607","11701"
"BJAMES","BIJOYJAM","11646438","08260"
"BJANG","BOONJINA","10004288","02713"
"BJENKINS","BILLJENK","11646470","08043"
"BJEPPESE","BJEPPESE","11645874","09077"
"BKADET","BKADET","11645209","01306"
"BKAHLIG","BKAHLIG","11646009","05212"
"BKANG","BSKANG","11663262","11084"
"BKASPRZY","BLKASPRZ","11644493","08480"
"BKEITH","BKEITH","11676328","11325"
"BKELLY","PAULDKEL","11645762","04144"
"BKHOO","BOOYEONG","11691854","11708"
"BKINARD","BKINARD","11646434","06428"
"BKLAPS","BKLAPS","11645830","09339"
"BKRSNIK","BKRSNIK","11646180","05759"
"BKURTZ","BLKURTZ","11646120","05496"
"BKWOK","BKWOKX","11707913","11897"
"BKYEOH","BKYEOH","11644552","08638"
"BLAMB","BCLAMB","11646647","06833"
"BLEE","BINSONYI","11646415","06321"
"BLEWIS","BLEWIS","11646454","08098"
"BLIANG","NEENEELI","11646770","07032"
"BLLIM","LIMBOONL","11644105","04189"
"BLNG","BOONLIMN","11689279","11581"
"BLOOI","BENGLEEO","11659618","07878"
"BLOPEZ","BLOPEZCA","11685452","11558"
"BLSMITH","BLSMITH","11645765","04151"
"BLTEOH","BLTEOH","10570083","06785"
"BMARGABA","BMARGABA","11645986","05126"
"BMARGARI","BMARGARI","11645100","00781"
"BMCGLYNN","BMCGLYNN","11645836","10067"
"BMILNER","BMILNER","11645366","02375"
"BMINK","BMINK","11646000","05181"
"BMURTHA","BMURTHA","11686561","11571"
"BMUTHAIA","BMUTHAIA","11679875","07252"
"BNANAND","BNANAND","11624585","11659"
"BNATARAJ","BALAJINA","11645684","03674"
"BOCTAN","BOONCHIE","11572639","07459"
"BOEHLKE","BOEHLKE","11644582","10662"
"BOELKRUG","BOELKRUG","11645934","09022"
"BOJENSEN","BOJENSEN","11645320","02080"
"BOOCTAN","TANBOONC","11684521","11485"
"BPANCHAL","BPANCHAL","11646231","05899"
"BPASCA","BPASCA","11646283","08256"
"BPEDERSE","BRUCEPED","11644668","00084"
"BPLIONG","BPLIONG","11646296","06084"
"BPOONGAN","BPOONGAN","11409776","09867"
"BPROVAX","WPROVA1","11645236","01537"
"BPUNEDRA","BPUNEDRA","11645797","09348"
"BRANKIN","BJRANKIN","11656540","04448"
"BROBBINS","BETHROBB","11674464","11222"
"BRODRIGU","BERTHAAR","11645881","04184"
"BSAMPATH","BSAMPATH","11655131","10927"
"BSANG","BSANG","10703589","08594"
"BSCHMELT","BASCHMEL","11679879","11439"
"BSHANMUG","BSHANMU1","11678252","11332"
"BSHIH","YULINSHI","11644712","09419"
"BSINCLAI","BSINCLAI","11644614","08692"
"BSTORM","BSTORM","10633744","11189"
"BSTOV","BSTOV","11644133","04298"
"BSYROWIK","BASYROWI","11649399","10917"
"BTAN","BILEYYAN","11646841","07142"
"BTHALLUR","BTHALLUX","11686717","11639"
"BTILLING","BTILLING","11649394","10906"
"BTRUXELL","BTRUXELL","11646822","07555"
"BTURCOTT","BTURCOTT","11644776","10450"
"BVEST","BVEST","11645104","00801"
"BVO","BINHVO","11645311","02018"
"BWATSON","BMWATSON","11646352","08215"
"BWINGO","BPWINGO","11644675","00237"
"BWOLSTEN","BWOLSTEN","11647206","02705"
"BWONG","BWONG","11645565","03157"
"BWRIGHT","BRADWRIG","11644537","08577"
"BXING","BILLXING","11674632","09949"
"BYKAN","BYKAN","11298331","08093"
"BYLIONG","BOONYOON","11646698","07817"
"BYNG","BYNG","10665548","03175"
"BYQUAH","BENGYONG","11645387","02454"
"BYUAN","YADONGYU","11645771","04169"
"BZHOU","ZHOUBO","11646243","08786"
"CACHANG","CHANGCAT","11645317","02060"
"CALAM","CARLLAM","11671361","11234"
"CALEE","CALEE","10697919","06459"
"CALING","CALING","11646295","06083"
"CALIU","CALIU","11644935","09837"
"CALNGUYE","CALNGUYE","11644799","09538"
"CANANTH","ANANTHCH","11644976","10397"
"CARCHEN","CARCHEN","11646531","06636"
"CARPRATT","CPRATT","11675535","11302"
"CASHWORT","CASHWORT","11644502","08502"
"CASTRICK","CTSTRICK","11655138","10958"
"CATCHAN","CATCHAN","11644834","09633"
"CAUDUONG","CAUDUONG","11645557","03111"
"CAWANG","CAWANG","11645920","05067"
"CAWU","CAWU","11644340","10710"
"CAYEN","YENCATHE","11454137","08142"
"CBALOUGH","CBALOUGH","11644113","04224"
"CBILBREY","CCBILBRE","11645929","09058"
"CBLEE","CHUBITLE","11646807","07111"
"CBRANCH","CBRANCH","11687662","11623"
"CBVERONN","CBVERONN","11644660","08754"
"CCANDLER","CCANDLER","11645014","09899"
"CCASEY","CLCASEYC","11645597","10170"
"CCCHAI","CHOWNCHI","11646473","06481"
"CCGIAP","CCGIAP","11644883","09717"
"CCHEAH","CHEAHCHR","11645412","02578"
"CCHEAUYA","GENEVIEV","11656516","11004"
"CCHEN","COFUNCHE","11646192","05819"
"CCHEUNG","CCCHEUNG","11644121","04256"
"CCHIASSO","CHARLESC","11644855","09679"
"CCHIN","FOONGLIA","11645203","01243"
"CCHOOI","CHOOI1","10812904","07815"
"CCHUAH","CCHUAH5","11229533","06752"
"CCLARE","COLLEENC","11646217","08801"
"CCLARK","CLARKCHR","11645744","04041"
"CCLEE","CHEAHCHE","11646669","06889"
"CCLIEW","CLIEW2","11270615","11008"
"CCLIM","CHEWCHIN","10693314","05704"
"CCMAH","CMAH1","10640857","10502"
"CCNG","CNG3","10707489","08593"
"CCPONG","CCPONG","11645454","02747"
"CCTAN","CCTAN","10715452","06103"
"CCTEOH","CCTEOH1","11277963","08207"
"CCWOON","CHURNCHI","11689277","08279"
"CDAI","CHARISDA","11644618","08695"
"CDAVIES","CDAVIES","11645533","02970"
"CDAVIS","CRAIGDAV","11644108","04200"
"CDNGUYEN","QDNGUYEN","11646239","05918"
"CEBELING","CEBELING","11646105","08827"
"CEGYEOH","EYEOH3","10573304","11446"
"CELIEW","CHENGEAN","11655578","10894"
"CELLINGE","CELLINGE","11655128","10932"
"CESAW","CESAW","11646562","06722"
"CESSER","CESSER","11644148","04341"
"CFADER","CFADER","11646375","08149"
"CFAN","FANMINGC","11646699","07820"
"CFCHOO","CFCHOO","11645719","03894"
"CFCHUA","CFCHUA","11644761","10496"
"CFENG","FENGJIA1","11646341","08263"
"CFKAM","CFKAM","11646898","07331"
"CFLEE","CFLEE","11645293","01891"
"CFRAHER","CFRAHER","11645637","10091"
"CFTAN","CHIEUFUN","11645327","02114"
"CFTHAM","CFTHAM","11226327","07477"
"CFTHUM","CFTHUM","11298565","06816"
"CFU","CHUNGFU","11645266","01749"
"CGAILLAR","CGAILLAR","11646138","05612"
"CGANG","CGANG","11646819","07119"
"CGCHEAH","CGCHEAH","11645897","04980"
"CGCHNG","CHINGHEE","11272884","07357"
"CGENTILE","CGENTILE","11685262","11546"
"CGGAN","CGGAN","10641643","07926"
"CGOH","CPGOH","11646202","05824"
"CGOURRIER","CTGOURRI","11645963","08957"
"CGRABBE","CGRABBE","11646060","08946"
"CHAHUANG","CHANGHU1","11690955","11687"
"CHANDS","CHANDS","11647216","08071"
"CHANG","CHINHUAT","11646146","05656"
"CHAOWANG","WANGCHA1","11644231","10788"
"CHATCH","CHATCH","11644293","04652"
"CHAUBRIC","CHAUBRIC","11645729","03963"
"CHAWANG","CHAWANG","11646763","07012"
"CHCASEY","CHCASEY","11644201","10817"
"CHCCHUAH","CHCCHUAH","11644195","10812"
"CHCHAN","CHCHAN","11645137","10358"
"CHCHANG","CHINGCH1","11646024","05279"
"CHCTAN","CTAN98","11242129","10086"
"CHECLIM","CHECLIM","11267320","09257"
"CHEKLEE","CHEKLEE","10712322","10054"
"CHEPLIM","CHEPLIM","11646023","05270"
"CHESTAN","CHESTAN","11646304","06102"
"CHETAN","CHINENGT","11529654","06222"
"CHEWANG","CHEWANG","11644519","08546"
"CHEYLIM","CHEYLIM","11645839","09172"
"CHGOH","CHUNHANG","11646042","05358"
"CHHAN","CHIAHONG","11679865","11358"
"CHHANG","CHHANG","10630629","05778"
"CHHCHANG","CHHCHANG","11646674","06895"
"CHHEAH","CHEAH","10672168","05121"
"CHHLOO","CHHLOO","11644263","04479"
"CHHTEH","CTEH2","10641636","08515"
"CHIHCHAN","CHANGKEV","11671380","11174"
"CHISLIM","CHISLIM","11646517","06574"
"CHISTAN","CHISTAN","11646731","07626"
"CHIZHANG","CHIZHAN1","11687438","11591"
"CHKCHAN","CHKCHAN","11646008","05211"
"CHKEK","CKEK","11658153","11022"
"CHKHOR","CHINHIEA","11645365","02373"
"CHKIM","CHRISHKI","11646843","07143"
"CHKLIM","CHKLIM","11646614","07907"
"CHKOAY","AKOAY","11645385","02452"
"CHKONG","CHKONG","11646288","06052"
"CHLCHAN","CHLCHAN","11647081","10829"
"CHLEE","CHRISHLE","11644319","04769"
"CHLNG","CHLNG","10650846","08184"
"CHLOH","CHLOH","11646542","06664"
"CHLOO","CHLOO","11645690","03736"
"CHLTAN","CHLTAN","11646594","08135"
"CHOEFLIN","CHOEFLIN","11647191","09830"
"CHOHLIM","CHOHLIM","11647080","10882"
"CHOO","COO1","11229504","07574"
"CHOOI","COOI20","10588016","08951"
"CHOYTAN","CTAN48","10693382","10373"
"CHOZHANG","CHONGMEI","11691860","11711"
"CHPCHIN","CHPCHIN","11378177","08012"
"CHPLIM","CHPLIM","11645695","03748"
"CHRCHEN","CHRCHEN","11646176","05743"
"CHRISNG","CNG21X","11264787","11914"
"CHRLEE","CHRLEE","11644194","04371"
"CHRTAN","TANCHR1X","11710098","11685"
"CHSANG","CHSANG","11317093","10076"
"CHSING","CHIALINH","11644932","09832"
"CHSLIM","CHOOISEN","11315290","08333"
"CHSTEOH","CHSTEOH","10713795","10269"
"CHTAN","TANC","11645396","02479"
"CHTANG","CHIAHUIT","10671372","04842"
"CHTEOH","CHTEOH","11646278","06014"
"CHTSE","CHEONGTS","11665459","11119"
